City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Dhidhdhoo,MV,80.06,overcast clouds,6.8833,73.1,Dhidhoo beach
646,Robertsport,LR,77.74,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
653,Puerto Ayacucho,VE,81.54,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
655,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
662,Nanakuli,US,82.11,light rain,21.3906,-158.1547,Camp Pālehua
663,Nizip,TR,82.53,clear sky,37.0097,37.7942,gümüş apart
668,Pasir Gudang,MY,79.0,broken clouds,1.4584,103.8805,Swan Garden Hotel Seri Alam
672,Slave Lake,CA,80.58,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
675,Bontang,ID,77.0,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
679,Dwarka,IN,81.37,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
684,Shimoda,JP,76.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
685,Tukrah,LY,79.14,clear sky,32.5341,20.5791,Lagrota restaurant
687,Lufilufi,WS,82.18,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
688,Pathalgaon,IN,75.33,overcast clouds,22.5667,83.4667,Queens Park Marriage Garden
