City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
51,Derzhavinsk,KZ,2022-09-03 20:17:11,51.1,66.3167,70.88,69,15,10.33,few clouds
52,Pisco,PE,2022-09-03 20:17:12,-13.7,-76.2167,67.01,72,5,8.05,clear sky
53,Hermanus,ZA,2022-09-03 20:17:12,-34.4187,19.2345,47.8,83,1,6.29,clear sky
54,Bubaque,GW,2022-09-03 20:17:12,11.2833,-15.8333,78.8,82,93,18.01,light rain
55,Ust-Kuyga,RU,2022-09-03 20:17:13,70.0167,135.6,35.64,97,100,3.38,overcast clouds
56,Itarema,BR,2022-09-03 20:17:13,-2.9248,-39.9167,80.6,73,31,18.45,scattered clouds
57,Yerofey Pavlovich,RU,2022-09-03 20:17:14,53.9667,121.9667,51.91,98,87,4.9,overcast clouds
58,Petrozavodsk,RU,2022-09-03 20:17:14,61.7849,34.3469,45.86,93,100,8.95,light intensity drizzle
59,Mahon,ES,2022-09-03 20:17:14,39.8885,4.2658,81.16,89,20,9.22,few clouds
60,Jamestown,US,2022-09-03 20:15:17,42.097,-79.2353,82.18,58,20,7.0,few clouds
61,Kerema,PG,2022-09-03 20:17:15,-7.9631,145.7785,76.68,88,58,2.82,broken clouds
62,Provideniya,RU,2022-09-03 20:12:17,64.3833,-173.3,47.59,89,100,5.19,overcast clouds
63,Sovetskiy,RU,2022-09-03 20:17:16,61.3614,63.5842,43.3,84,22,9.24,few clouds
64,Formosa,AR,2022-09-03 20:17:16,-26.1775,-58.1781,67.98,32,0,16.11,clear sky
65,Hithadhoo,MV,2022-09-03 20:17:16,-0.6,73.0833,81.09,70,50,16.58,scattered clouds
66,Bengkulu,ID,2022-09-03 20:17:17,-3.8004,102.2655,72.86,89,100,4.0,overcast clouds
67,Castro,BR,2022-09-03 20:17:17,-24.7911,-50.0119,57.29,96,100,6.38,overcast clouds
68,Hobart,AU,2022-09-03 20:16:26,-42.8794,147.3294,43.27,88,75,10.36,broken clouds
