City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kambar,PK,2022-09-03 18:12:43,27.5868,68.001,87.17,60,0,8.72
68,Busselton,AU,2022-09-03 18:12:44,-33.65,115.3333,55.26,80,94,13.67
69,Zonguldak,TR,2022-09-03 18:12:44,41.25,31.8333,66.33,95,52,3.98
70,Faya,SA,2022-09-03 18:12:44,18.3851,42.4509,68.52,51,98,1.97
71,Atuona,PF,2022-09-03 18:12:45,-9.8,-139.0333,76.39,71,47,21.88
72,Los Palacios,CU,2022-09-03 18:12:45,22.5872,-83.2486,89.67,47,15,11.52
73,Klaksvik,FO,2022-09-03 18:12:46,62.2266,-6.589,58.12,89,0,12.59
74,Port Elizabeth,ZA,2022-09-03 18:12:37,-33.918,25.5701,61.09,84,0,6.91
75,Sao Geraldo Do Araguaia,BR,2022-09-03 18:12:46,-6.4006,-48.555,102.85,15,4,3.8
76,Hambantota,LK,2022-09-03 18:12:46,6.1241,81.1185,78.53,81,100,15.26
77,Broome,US,2022-09-03 18:12:47,42.2506,-75.833,81.01,65,75,9.22
78,Bambous Virieux,MU,2022-09-03 18:12:47,-20.3428,57.7575,71.85,78,75,9.22
79,Syasstroy,RU,2022-09-03 18:12:48,60.1367,32.5691,49.14,79,84,13.94
80,Nara,JP,2022-09-03 18:12:48,34.6851,135.8049,75.49,78,100,3.0
81,New Norfolk,AU,2022-09-03 18:12:48,-42.7826,147.0587,42.93,76,10,2.64
82,Hithadhoo,MV,2022-09-03 18:12:49,-0.6,73.0833,81.21,70,81,17.81
83,Port Alfred,ZA,2022-09-03 18:12:49,-33.5906,26.891,58.17,86,1,12.66
84,Bredasdorp,ZA,2022-09-03 18:12:49,-34.5322,20.0403,52.5,85,0,4.65
85,Yichang,CN,2022-09-03 18:12:50,30.7144,111.2847,73.81,53,100,3.94
86,Superior,US,2022-09-03 18:12:50,46.7208,-92.1041,65.48,65,0,19.57
87,Mizan Teferi,ET,2022-09-03 18:12:50,6.9833,35.5833,60.46,99,98,1.52
